성별,이름,오래달리기,50M 달리기,윗몸말아올리기,앉아윗몸앞으로굽히기
남,A,80,10.46,68,3.5
남,B,80,9.23,30,-6
여,C,81,9.62,50,26.5
남,D,61,10.35,22,2.5
남,E,65,9.7,39,6
남,F,80,8.55,66,-6
남,G,56,10.43,11,2
여,I,47,11.69,31,26
여,J,87,9.51,42,25.5
남,K,131,8.22,91,-5
남,L,34,10.4,16,-4
여,M,43,11.14,17,7.5
여,N,51,10.23,22,10
여,O,43,11.29,13,20
남,P,127,10.01,40,-5
여,Q,81,9.16,43,14
여,R,94,9.5,64,18.5
남,S,81,8.57,60,21
여,T,70,11.1,42,20
여,U,32,10.4,6,6.5
남,V,36,11.69,8,4.5
남,W,100,8.76,67,19.5
여,X,105,10.11,43,11.5
